Nome,id,forca,resistencia,elemento,mente,aceleracao,mobilidade
missingno,0,100,100,100,100,100,100
bulbasaur,1,34,0,0,0,0,0
ivysaur,2,61,0,0,0,0,0
venusaur,3,112,0,0,0,0,0
charmander,4,28,0,0,0,0,0
charmeleon,5,52,0,0,0,0,0
charizard,6,88,0,0,0,0,0
squirtle,7,26,0,0,0,0,0
wartortle,8,51,0,0,0,0,0
blastoise,9,90,0,0,0,0,0
caterpie,11,10,0,0,0,0,0
metapod,11,21,0,0,0,0,0
butterfree,12,28,0,0,0,0,0
weedle,13,12,0,0,0,0,0
kakuna,14,22,0,0,0,0,0
beedrill,15,38,0,0,0,0,0
pidgey,16,20,0,0,0,0,0
pidgeotto,17,40,0,0,0,0,0
pidgeot,18,68,0,0,0,0,0
rattata,19,23,0,0,0,0,0
raticate,20,60,0,0,0,0,0
spearow,21,23,0,0,0,0,0
fearow,22,51,0,0,0,0,0
ekans,23,31,0,0,0,0,0
arbok,24,67,0,0,0,0,0
pikachu,25,27,0,0,0,0,0
raichu,26,57,0,0,0,0,0
sandshrew,27,38,0,0,0,0,0
sandslash,28,73,0,0,0,0,0
nidoran-f,29,25,0,0,0,0,0
nidorina,30,49,0,0,0,0,0
nidoqueen,31,79,0,0,0,0,0
nidoran-m,32,27,0,0,0,0,0
nidorino,33,59,0,0,0,0,0
nidoking,34,83,0,0,0,0,0
clefairy,35,44,0,0,0,0,0
clefable,36,58,0,0,0,0,0
vulpix,37,32,0,0,0,0,0
ninetales,38,56,0,0,0,0,0
jigglypuff,39,30,0,0,0,0,0
wigglytuff,40,51,0,0,0,0,0
zubat,41,12,0,0,0,0,0
golbat,42,46,0,0,0,0,0
oddish,43,13,0,0,0,0,0
gloom,44,38,0,0,0,0,0
vileplume,45,48,0,0,0,0,0
paras,46,22,0,0,0,0,0
parasect,47,57,0,0,0,0,0
venonat,48,24,0,0,0,0,0
venomoth,49,38,0,0,0,0,0
diglett,50,15,0,0,0,0,0
dugtrio,51,43,0,0,0,0,0
meowth,52,32,0,0,0,0,0
persian,53,65,0,0,0,0,0
psyduck,54,31,0,0,0,0,0
golduck,55,63,0,0,0,0,0
mankey,56,36,0,0,0,0,0
primeape,57,73,0,0,0,0,0
growlithe,58,35,0,0,0,0,0
arcanine,59,83,0,0,0,0,0
poliwag,60,20,0,0,0,0,0
poliwhirl,61,49,0,0,0,0,0
poliwrath,62,78,0,0,0,0,0
abra,63,15,0,0,0,0,0
kadabra,64,29,0,0,0,0,0
alakazam,65,39,0,0,0,0,0
machop,66,44,0,0,0,0,0
machoke,67,78,0,0,0,0,0
machamp,68,118,0,0,0,0,0
bellsprout,69,24,0,0,0,0,0
weepinbell,70,44,0,0,0,0,0
victreebel,71,67,0,0,0,0,0
tentacool,72,35,0,0,0,0,0
tentacruel,73,79,0,0,0,0,0
geodude,74,36,0,0,0,0,0
graveler,75,69,0,0,0,0,0
golem,76,79,0,0,0,0,0
ponyta,77,47,0,0,0,0,0
rapidash,78,76,0,0,0,0,0
slowpoke,79,34,0,0,0,0,0
slowbro,80,47,0,0,0,0,0
magnemite,81,15,0,0,0,0,0
magneton,82,30,0,0,0,0,0
farfetchd,83,35,0,0,0,0,0
doduo,84,33,0,0,0,0,0
dodrio,85,50,0,0,0,0,0
seel,86,34,0,0,0,0,0
dewgong,87,56,0,0,0,0,0
grimer,88,40,0,0,0,0,0
muk,89,75,0,0,0,0,0
shellder,90,22,0,0,0,0,0
cloyster,91,46,0,0,0,0,0
gastly,92,10,0,0,0,0,0
haunter,93,49,0,0,0,0,0
gengar,94,60,0,0,0,0,0
onix,95,125,0,0,0,0,0
drowzee,96,57,0,0,0,0,0
hypno,97,59,0,0,0,0,0
krabby,98,25,0,0,0,0,0
kingler,99,63,0,0,0,0,0
voltorb,100,14,0,0,0,0,0
electrode,101,32,0,0,0,0,0
exeggcute,102,10,0,0,0,0,0
exeggutor,103,59,0,0,0,0,0
cubone,104,36,0,0,0,0,0
marowak,105,62,0,0,0,0,0
hitmonlee,106,77,0,0,0,0,0
hitmonchan,107,76,0,0,0,0,0
lickitung,108,59,0,0,0,0,0
koffing,109,16,0,0,0,0,0
weezing,110,39,0,0,0,0,0
rhyhorn,111,78,0,0,0,0,0
rhydon,112,99,0,0,0,0,0
chansey,113,40,0,0,0,0,0
tangela,114,40,0,0,0,0,0
kangaskhan,115,85,0,0,0,0,0
horsea,116,11,0,0,0,0,0
